Tuesday,June 02 2015,,,
Hour,EB,NB,SB,WB
9:00,19,71,48,20
10:00,92,422,292,73
11:00,111,439,414,96
12:00,112,409,417,99
13:00,116,475,459,101
14:00,146,460,526,153
15:00,220,509,614,171
16:00,193,457,640,167
17:00,226,433,799,197
18:00,184,378,654,153
19:00,126,258,505,133
20:00,128,185,413,115
21:00,102,154,245,87
22:00,34,93,160,47
23:00,33,44,89,34
,,,,
Wednesday,June 03 2015,,,
Hour,EB,NB,SB,WB
0:00,13,22,72,16
1:00,10,13,30,6
2:00,5,21,16,8
3:00,4,45,6,5
4:00,18,161,13,5
5:00,27,308,44,21
6:00,31,506,147,43
7:00,86,626,228,81
8:00,81,461,209,83
9:00,104,456,292,73
10:00,83,398,269,89
11:00,114,414,368,96
12:00,125,450,409,104
13:00,127,456,474,141
14:00,164,408,580,145
15:00,188,463,609,165
16:00,201,442,682,147
17:00,220,496,742,192
18:00,196,348,620,184
19:00,135,264,495,154
20:00,120,212,419,118
21:00,89,131,288,91
22:00,45,74,142,40
23:00,27,32,86,21
,,,,
Thursday,June 04 2015,,,
Hour,EB,NB,SB,WB
0:00,16,19,36,16
1:00,14,22,31,9
2:00,3,12,18,9
3:00,5,36,19,1
4:00,10,172,16,8
5:00,24,310,60,23
6:00,47,582,166,66
7:00,116,707,301,171
8:00,142,564,305,134
9:00,112,481,285,109
10:00,120,448,342,93
11:00,124,461,415,119
12:00,114,403,421,111
13:00,130,452,500,148
14:00,161,475,557,152
15:00,195,560,669,201
16:00,187,483,667,236
17:00,235,533,755,163
18:00,168,430,626,159
19:00,117,291,496,123
20:00,134,196,430,159
21:00,92,182,359,107
22:00,57,89,195,46
23:00,27,46,93,32
,,,,
Friday,June 05 2015,,,
Hour,EB,NB,SB,WB
0:00,13,16,47,14
1:00,10,19,29,8
2:00,4,25,20,10
3:00,11,39,20,11
4:00,9,173,16,10
5:00,32,258,72,24
6:00,46,618,206,63
7:00,106,714,327,157
8:00,123,542,293,136
9:00,97,431,274,104
10:00,120,453,347,113
11:00,163,435,466,140
12:00,159,500,480,148
13:00,141,427,525,140
14:00,190,517,669,190
15:00,222,550,689,211
16:00,223,525,688,172
17:00,215,548,691,185
18:00,171,491,618,175
19:00,146,299,546,162
20:00,114,260,449,151
21:00,103,211,342,109
22:00,77,136,273,73
23:00,58,61,156,52
,,,,
Saturday,June 06 2015,,,
Hour,EB,NB,SB,WB
0:00,19,45,81,26
1:00,12,14,60,7
2:00,6,25,40,4
3:00,3,21,25,3
4:00,15,34,20,6
5:00,23,83,32,15
6:00,29,157,84,28
7:00,64,245,135,36
8:00,94,359,227,63
9:00,114,567,291,111
10:00,172,595,418,152
11:00,165,567,488,156
12:00,188,636,537,145
13:00,163,521,559,174
14:00,170,481,609,164
15:00,142,433,606,118
16:00,142,462,562,172
17:00,157,461,460,127
18:00,198,469,344,208
19:00,119,303,378,146
20:00,123,257,404,104
21:00,78,189,319,120
22:00,87,155,215,62
23:00,48,87,186,59
,,,,
Sunday,June 07 2015,,,
Hour,EB,NB,SB,WB
0:00,32,42,100,29
1:00,19,33,46,10
2:00,13,20,29,8
3:00,10,18,17,11
4:00,10,32,15,10
5:00,3,45,23,9
6:00,21,99,36,14
7:00,32,187,77,24
8:00,73,260,132,45
9:00,78,550,211,83
10:00,154,550,342,118
11:00,148,505,425,111
12:00,168,514,623,202
13:00,179,443,490,146
14:00,140,425,524,125
15:00,135,415,447,132
16:00,148,355,485,126
17:00,146,405,419,126
18:00,118,326,408,113
19:00,97,226,310,114
20:00,115,240,345,117
21:00,63,136,155,85
22:00,40,75,129,47
23:00,26,36,77,33
,,,,
Monday,June 08 2015,,,
Hour,EB,NB,SB,WB
0:00,17,17,41,5
1:00,7,10,23,6
2:00,4,18,17,4
3:00,2,36,4,0
4:00,10,179,25,5
5:00,28,306,59,23
6:00,45,542,158,54
7:00,87,603,244,81
8:00,118,640,282,170
9:00,133,586,315,162
10:00,118,462,376,103
11:00,110,407,388,114
12:00,137,435,445,103
13:00,139,436,467,115
14:00,183,520,618,175
15:00,194,552,616,195
16:00,194,497,738,188
17:00,229,464,674,162
18:00,182,429,596,155
19:00,126,251,434,180
20:00,130,219,438,148
21:00,67,164,270,100
22:00,49,79,163,66
23:00,27,44,73,22
,,,,
Tuesday,June 09 2015,,,
Hour,EB,NB,SB,WB
0:00,7,21,36,16
1:00,2,18,33,6
2:00,4,21,20,8
3:00,7,41,17,6
4:00,14,202,24,5
5:00,21,291,57,27
6:00,37,575,170,64
7:00,103,847,314,168
8:00,131,561,273,144
9:00,100,495,257,99
10:00,95,390,291,100
11:00,115,467,404,103
12:00,131,381,435,137
13:00,147,442,455,127
14:00,158,467,601,172
15:00,205,482,700,203
16:00,229,430,699,170
17:00,248,472,708,162
18:00,183,355,651,159
19:00,136,294,523,150
20:00,119,221,378,121
21:00,78,171,303,99
22:00,57,70,132,43
23:00,25,44,97,32
,,,,
Wednesday,June 10 2015,,,
Hour,EB,NB,SB,WB
0:00,17,15,41,14
1:00,4,19,27,2
2:00,8,15,16,6
3:00,0,39,16,1
4:00,5,183,25,10
5:00,22,283,56,18
6:00,37,559,181,64
7:00,124,786,289,181
8:00,123,557,290,115
9:00,118,499,259,94
10:00,104,444,329,95
11:00,122,424,386,129
12:00,139,429,426,129
13:00,138,452,509,120
14:00,173,448,559,144
15:00,191,522,722,201
16:00,232,453,617,163
17:00,237,504,725,215
18:00,193,406,585,164
19:00,146,315,503,153
20:00,107,218,469,118
21:00,88,187,355,103
22:00,51,85,159,42
23:00,18,32,99,18
Total,2397,7874,7643,2299
,,,,
Thursday,June 11 2015,,,
Hour,EB,NB,SB,WB
0:00,19,22,56,17
1:00,10,17,35,8
2:00,8,16,24,10
3:00,8,52,18,2
4:00,15,208,24,13
5:00,21,280,56,24
6:00,47,566,187,61
7:00,104,807,282,198
8:00,124,573,310,142
9:00,110,461,297,77
10:00,114,402,302,84
11:00,117,455,459,114
12:00,119,452,476,119
13:00,151,467,460,118
14:00,176,521,584,141
15:00,233,527,710,204
16:00,214,513,662,173
17:00,266,509,696,193
18:00,185,385,654,140
19:00,131,269,572,142
20:00,144,233,486,136
21:00,96,205,342,110
22:00,40,87,205,43
23:00,28,51,125,42
,,,,
Friday,June 12 2015,,,
Hour,EB,NB,SB,WB
0:00,21,17,65,27
1:00,4,18,44,14
2:00,6,20,26,11
3:00,16,37,16,6
4:00,8,174,19,16
5:00,23,254,56,23
6:00,45,517,188,53
7:00,93,753,299,162
