112 and Canyon
,Sunday,,,Monday,,,Tuesday,,,Wednesday,,,Thursday,,,Friday,,,Saturday,,
,March 30 2014,,,March 31 2014,,,April 01 2014,,,April 02 2014,,,April 03 2014,,,April 04 2014,,,April 05 2014,,
TIME,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3
0:00,122,94,116,87,66,82,107,86,159,120,94,139,117,79,148,113,73,140,134,112,165
1:00,60,55,80,36,36,44,67,39,48,48,49,46,52,51,50,38,43,52,56,74,84
2:00,36,31,68,26,36,34,37,28,41,35,29,54,32,29,56,27,39,64,40,40,42
3:00,28,37,40,23,32,45,35,31,71,36,33,54,31,43,72,40,32,52,36,42,47
4:00,42,36,48,51,61,156,66,77,159,72,67,163,67,71,167,68,72,158,37,34,55
5:00,47,39,75,187,211,477,175,205,511,194,221,507,201,215,498,175,190,456,77,63,119
6:00,71,66,149,478,493,800,528,490,806,543,537,780,504,465,767,473,443,753,125,128,214
7:00,137,108,174,671,741,780,721,765,891,723,718,879,732,750,865,685,706,861,239,190,264
8:00,178,154,204,772,821,781,744,798,813,750,850,797,789,757,631,733,794,769,299,249,378
9:00,285,237,337,630,612,688,677,647,659,630,577,692,682,654,658,627,584,680,401,314,476
10:00,418,345,452,567,510,558,601,561,593,521,527,567,523,482,582,574,568,567,474,436,543
11:00,465,425,467,472,439,491,556,529,532,496,467,520,476,472,477,520,504,532,521,456,512
12:00,451,398,446,469,468,481,490,441,491,507,432,394,493,469,460,431,441,486,504,528,511
13:00,479,504,474,467,458,483,501,490,500,476,498,452,505,485,499,498,542,428,524,572,524
14:00,456,464,483,471,505,539,478,489,499,476,523,544,487,535,521,519,567,541,508,505,506
15:00,430,430,487,508,578,547,514,579,540,500,575,538,457,523,498,536,558,521,448,472,444
16:00,385,375,442,462,595,572,526,535,522,495,547,572,448,535,516,521,587,526,454,455,502
17:00,345,378,479,456,561,560,463,504,556,475,538,535,464,512,492,483,570,534,422,439,477
18:00,364,334,459,408,451,499,423,467,517,412,521,534,438,510,490,454,498,505,416,440,450
19:00,346,306,374,380,382,456,356,420,479,394,382,452,368,369,440,415,470,525,425,387,419
20:00,243,233,298,270,273,288,267,264,332,296,249,323,274,241,295,304,327,371,248,265,304
21:00,206,197,232,204,221,274,217,221,283,204,202,253,182,195,236,274,217,268,224,222,270
22:00,149,138,201,173,158,228,194,150,200,173,167,223,202,172,207,226,182,243,218,184,221
23:00,105,102,142,143,111,158,149,111,161,143,102,158,119,112,129,179,139,159,174,167,222
TOTAL,5848,5486,6727,8411,8819,10021,8892,8927,10363,8719,8905,10176,8643,8726,9754,8913,9146,10191,7004,6774,7749
