112 and Canyon
,Sunday,,,Monday,,,Tuesday,,,Wednesday,,,Thursday,,,Friday,,,Saturday,,
,April 06 2014,,,April 07 2014,,,April 08 2014,,,April 09 2014,,,April 10 2014,,,April 11 2014,,,April 12 2014,,
TIME,LN 25,LN 26,LN 27,LN 25,LN 26,LN 27,LN 25,LN 26,LN 27,LN 25,LN 26,LN 27,LN 25,LN 26,LN 27,LN 25,LN 26,LN 27,LN 25,LN 26,LN 27
0:00,225,210,144,148,115,83,175,159,124,192,166,137,219,182,122,184,184,152,242,224,189
1:00,153,138,81,81,82,28,110,107,59,134,94,65,118,113,81,141,112,70,151,141,97
2:00,97,94,57,64,37,19,68,62,29,61,63,28,79,67,35,67,70,38,92,96,49
3:00,88,72,51,37,34,19,60,60,24,60,55,27,69,52,31,73,60,38,80,85,45
4:00,47,47,40,50,36,29,60,59,29,65,58,22,70,55,25,65,63,24,50,59,32
5:00,55,54,30,93,90,59,104,83,56,89,69,66,101,113,65,95,90,57,54,56,28
6:00,88,93,43,260,227,173,250,236,180,273,236,196,264,216,190,225,215,176,99,94,68
7:00,102,90,47,364,316,259,388,323,250,378,325,259,377,320,262,374,311,262,104,107,74
8:00,150,129,72,443,324,295,416,341,296,425,337,278,417,350,310,446,330,295,177,187,143
9:00,160,134,92,375,296,296,399,297,249,399,302,277,389,308,259,371,298,262,252,215,195
10:00,251,208,126,375,345,324,413,325,264,409,312,269,415,357,283,436,429,322,350,299,278
11:00,332,274,197,425,382,347,426,313,313,427,332,279,414,362,292,445,390,416,392,361,341
12:00,378,300,265,459,407,408,450,390,373,367,390,349,455,393,412,500,447,460,419,450,434
13:00,498,429,362,532,434,433,521,385,454,505,390,411,513,418,445,505,485,472,516,517,428
14:00,510,450,425,596,462,486,564,491,456,592,498,502,578,462,543,603,553,572,547,538,521
15:00,512,480,404,657,570,550,630,562,590,656,623,563,545,602,566,583,575,614,563,527,455
16:00,520,473,426,749,746,710,671,699,672,605,704,667,739,745,697,718,771,735,621,578,503
17:00,518,487,388,821,842,776,698,796,702,456,833,633,727,842,753,637,763,604,618,590,488
18:00,503,467,392,1022,873,728,707,809,746,682,833,731,759,834,743,978,832,663,780,616,521
19:00,487,408,377,860,692,596,667,720,642,834,751,659,739,833,629,751,708,714,849,512,410
20:00,417,397,334,517,478,399,505,486,407,548,496,440,538,514,462,560,521,484,626,445,388
21:00,373,317,308,398,389,357,414,341,298,434,428,363,405,458,384,413,463,378,334,363,362
22:00,248,242,172,352,311,261,354,290,248,406,341,311,387,378,327,449,369,322,400,348,288
23:00,196,186,160,255,214,179,276,251,218,278,255,190,288,244,221,397,333,284,382,328,282
TOTAL,6908,6179,4993,9933,8702,7814,9326,8585,7679,9275,8891,7722,9605,9218,8137,10016,9372,8414,8698,7736,6619
