112 and Canyon
,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,
,August 31 2014,,September 01 2014,,September 02 2014,,September 03 2014,,September 04 2014,,September 05 2014,,September 06 2014,
TIME,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50
0:00,60,63,48,73,54,53,38,56,53,56,57,62,70,92
1:00,54,55,34,44,27,41,20,42,27,37,34,28,54,78
2:00,37,28,24,23,14,17,15,18,18,20,16,16,33,34
3:00,31,27,13,21,6,17,11,14,19,23,18,20,32,46
4:00,20,12,10,15,8,12,10,20,9,19,10,13,18,22
5:00,10,14,12,18,20,34,22,39,20,36,25,37,20,24
6:00,11,15,5,21,48,44,48,52,58,57,55,62,14,29
7:00,21,26,27,41,84,98,107,129,114,115,107,104,45,68
8:00,39,45,43,55,116,129,149,163,134,153,142,191,87,156
9:00,54,92,63,106,118,168,161,165,166,166,174,189,180,351
10:00,138,148,128,193,211,223,209,221,199,244,254,255,294,368
11:00,223,250,177,161,220,248,204,242,234,271,290,300,295,340
12:00,203,256,238,268,267,268,260,277,278,326,292,297,344,354
13:00,304,309,257,320,309,310,298,326,285,305,321,348,334,396
14:00,264,306,232,304,264,332,283,321,295,311,322,367,373,388
15:00,250,306,421,392,304,347,299,355,328,363,341,340,346,342
16:00,258,282,355,362,384,365,329,385,358,385,394,368,320,353
17:00,235,259,222,234,464,458,401,344,412,453,451,428,341,331
18:00,203,262,212,275,482,452,441,442,499,448,477,460,286,341
19:00,188,219,174,216,339,381,311,351,262,314,370,384,239,276
20:00,163,205,157,179,214,268,241,265,169,194,250,300,190,241
21:00,121,157,124,141,160,200,198,213,143,165,209,282,174,207
22:00,99,124,120,109,113,124,113,120,131,149,147,204,107,141
23:00,79,80,60,76,72,69,64,61,83,86,118,153,102,103
TOTAL,3065,3540,3156,3647,4298,4658,4232,4621,4294,4696,4874,5208,4298,5081
