176 and Canyon
,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,
,December 07 2014,,December 08 2014,,December 09 2014,,December 10 2014,,December 11 2014,,December 12 2014,,December 13 2014,
TIME,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74
0:00,99,102,39,44,74,67,42,38,76,68,73,80,134,131
1:00,52,65,27,41,49,45,23,21,38,60,42,44,73,79
2:00,40,41,16,20,22,24,26,22,30,21,24,24,39,42
3:00,26,28,9,8,23,14,19,18,21,16,22,21,34,28
4:00,8,11,10,10,13,16,32,48,16,19,12,20,15,20
5:00,18,18,38,34,41,43,126,157,42,38,22,33,13,21
6:00,26,41,119,173,121,161,209,247,126,158,95,126,34,36
7:00,45,59,198,263,204,253,241,279,186,240,187,224,56,50
8:00,65,75,252,307,272,307,234,237,267,321,257,317,85,103
9:00,114,108,210,232,213,250,164,203,232,261,247,261,125,156
10:00,157,179,185,205,165,188,194,209,107,235,135,230,180,175
11:00,193,209,186,207,164,196,191,223,131,248,119,261,225,254
12:00,243,250,223,230,211,216,236,227,125,280,224,258,282,301
13:00,294,303,233,258,205,229,219,242,134,286,261,260,266,341
14:00,269,271,267,285,247,234,313,336,172,340,269,297,311,317
15:00,227,254,320,336,310,321,332,418,234,367,342,358,324,341
16:00,231,239,351,404,381,423,349,388,349,384,400,445,372,356
17:00,231,260,333,376,372,392,374,416,369,405,371,444,323,408
18:00,321,324,323,407,372,442,349,369,408,430,396,442,327,429
19:00,228,245,303,331,313,333,251,255,379,430,358,396,304,304
20:00,192,211,221,241,264,289,168,199,353,434,288,312,236,235
21:00,158,163,168,188,183,202,134,129,290,285,201,244,196,250
22:00,80,114,111,129,164,143,105,80,153,155,198,205,152,182
23:00,80,81,79,73,96,76,4331,4761,90,94,144,164,152,142
