176 and Canyon
,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,
,August 03 2014,,August 04 2014,,August 05 2014,,August 06 2014,,August 07 2014,,August 08 2014,,August 09 2014,
TIME,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26
0:00,121,77,81,89,119,111,113,131,120,111,132,128,155,117
1:00,81,47,59,30,74,42,60,37,80,45,70,41,101,63
2:00,48,39,26,15,37,27,49,28,59,22,55,25,56,33
3:00,46,20,24,15,43,22,35,22,43,14,49,21,47,17
4:00,35,21,47,33,47,45,32,47,54,50,37,35,32,30
5:00,28,30,102,114,126,116,118,119,105,134,95,108,61,61
6:00,60,85,286,319,325,353,326,350,329,331,297,310,105,96
7:00,77,65,259,268,267,306,251,294,259,299,243,263,90,69
8:00,63,39,283,242,251,195,290,244,276,207,253,222,90,41
9:00,78,46,191,148,202,161,212,153,224,186,217,153,113,94
10:00,100,69,153,212,199,147,229,151,215,151,207,118,151,80
11:00,155,105,203,200,221,168,212,171,244,183,230,167,220,121
12:00,205,133,252,202,258,197,236,182,252,204,257,220,258,172
13:00,232,196,289,249,312,252,293,252,315,260,290,273,260,208
14:00,269,200,304,290,300,303,301,316,296,273,314,305,295,263
15:00,248,212,399,396,378,397,412,424,365,395,391,419,297,259
16:00,254,183,444,403,470,412,449,399,426,388,415,376,294,219
17:00,227,166,496,433,485,445,476,431,431,426,466,434,312,238
18:00,261,186,532,472,537,508,541,458,550,474,494,423,291,255
19:00,267,205,404,333,389,359,408,346,397,348,374,326,269,219
20:00,221,171,295,192,267,241,294,205,258,215,289,223,222,177
21:00,211,137,243,169,237,175,254,180,240,176,264,170,206,149
22:00,149,126,194,137,200,156,238,169,193,146,226,160,204,148
23:00,148,141,145,135,156,162,158,157,167,148,221,185,188,154
TOTAL,3584,2699,5711,5096,5900,5300,5987,5266,5898,5186,5886,5105,4317,3283
