Week: 2015_36
,EB,NB,SB,WB
1,2044,6969,7130,1988
2,1983,6874,7300,1812
3,2028,7031,7043,1824
4,2163,7116,7240,1937
5,2051,7204,7883,1966
6,1787,6087,6213,1656
7,1523,4995,5246,1403

Week: 2015_37
,EB,NB,SB,WB
1,1475,4981,5197,1583
2,2163,7439,7443,2153
3,2201,7192,7468,2026
4,2201,7496,7533,2115
5,2279,7572,7695,2164
6,2047,6556,6432,1930
7,1596,5141,5343,1572

Week: 2015_38
,EB,NB,SB,WB
1,2031,7005,7003,1999
2,2231,7246,7264,2103
3,2181,7370,7372,1993
4,2106,7392,7274,2031
5,2202,7453,7635,1999
6,1890,6558,6395,1713
7,1591,5369,5468,1553

Week: 2015_39
,EB,NB,SB,WB
1,2073,7152,7219,1945
2,2205,7296,7195,2056
3,2097,7227,7168,2012
4,2144,7317,7297,1935
5,2160,7820,7606,1994
6,2019,6602,6582,1865
7,1524,5242,5380,1550

Week: 2015_40
,EB,NB,SB,WB
1,2029,6823,7087,1916
2,2174,7283,7135,2068
3,2184,7247,7310,2169
4,2204,7476,7755,2084
5,2076,7905,8145,2118
6,2013,6566,6660,1901
7,1631,5064,5231,1530

Week: 2015_41
,EB,NB,SB,WB
1,2022,6999,6905,1872
2,2124,7271,7099,2016
3,2065,7058,7136,1884
4,2060,6924,6987,1711
5,2052,7242,7329,1791
6,1809,6210,6371,1750
7,1567,4880,4964,1462

Week: 2015_42
,EB,NB,SB,WB
1,2128,7020,7002,1994
2,2079,7222,7120,1837
3,2207,7249,7203,2063
4,2075,7421,7436,1977
5,2224,7573,7706,2121
6,1946,6445,6472,1839
7,1467,4854,5063,1503

Week: 2015_43
,EB,NB,SB,WB
1,1981,6988,6996,1843
2,2129,7424,7086,2062
3,2232,7344,7422,2115
4,2070,7249,7127,1914
5,2211,7584,7613,2158
6,2093,6633,6709,1947
7,1528,5012,5188,1476

Week: 2015_44
,EB,NB,SB,WB
1,1971,6965,6975,1831
2,2097,7284,7425,2008
3,2059,7066,6974,1950
4,2016,7392,7271,1891
5,2230,7916,7991,2263
6,1898,6236,6196,1850
7,1449,4809,4866,1468

Week: 2015_45
,EB,NB,SB,WB
1,2023,6892,7067,1859
2,2032,7264,7214,1947
3,1779,6317,6308,1696
4,2059,7146,7003,1906
5,2204,7555,7587,2113
6,1872,6414,6354,1759
7,1506,5118,5178,1553

Week: 2015_46
,EB,NB,SB,WB
1,1920,6904,6843,1850
2,2040,7147,7098,2065
3,1918,6576,6870,1636
4,2165,7374,7148,2103
5,2043,7112,7392,1914
6,1727,6282,6243,1646
7,1517,4945,5071,1498

Week: 2015_47
,EB,NB,SB,WB
1,1887,6783,6851,1751
2,1952,6525,5719,1854
3,2048,7322,7210,2001
4,2013,7160,7175,1978
5,2173,7542,7832,2113
6,1969,6584,6687,1828
7,1552,4991,5146,1504

Week: 2015_48
,EB,NB,SB,WB
1,1987,7271,7186,1891
2,2134,7444,7393,2064
3,2116,7671,7886,2229
4,1545,4302,4287,1368
5,1653,6134,6247,1623
6,1627,5898,5751,1503
7,1407,4801,4735,1417

Week: 2015_49
,EB,NB,SB,WB
1,1907,7055,7080,1860
2,2110,7226,7480,2059
3,2044,7261,7154,2027
4,2099,7351,7291,2057
5,2276,7856,7803,2243
6,1906,6887,6939,1831
7,1559,5203,5385,1480

Week: 2015_50
,EB,NB,SB,WB
1,1986,7090,7022,1907
2,1961,6983,6911,1902
3,2134,7736,7606,2088
4,2031,7334,7382,1943
5,2170,7748,8098,2148
6,1772,6927,7016,1790
7,1591,5322,5540,1565

Week: 2015_51
,EB,NB,SB,WB
1,2071,7283,7463,2054
2,2097,7581,7775,1987
3,2151,7679,7800,2061
4,1977,7662,7563,1993
5,2205,8144,8189,2288
6,1988,7199,7606,2118
7,1616,5529,5691,1588

Week: 2015_52
,EB,NB,SB,WB
1,1804,7147,7540,1707
2,2006,7617,7949,1887
3,2145,7554,7808,2011
4,2146,6804,7346,2117
5,1378,3606,3563,1268
6,1505,5569,5593,1488
7,1360,4635,4570,1299

Week: 2015_53
,EB,NB,SB,WB
1,1770,6320,6604,1646
2,1844,6536,6710,1662
3,1868,6777,6909,1730
4,1936,6885,7050,2008
5,1267,4157,4486,1340
6,1529,5855,5936,1455
7,1240,4026,4138,1307

Week: 2016_1
,EB,NB,SB,WB
1,1843,6627,6797,1761
2,2002,7212,7064,1947
3,2002,7148,7104,2003
4,2005,7204,7237,1968
5,2099,7523,7432,2066
6,1715,6421,6586,1750
7,1416,4702,4735,1415

Week: 2016_2
,EB,NB,SB,WB
1,1952,6930,6851,1808
2,1899,7062,7052,1928
3,1888,7215,7110,1903
4,564,3748,1791,619

