Year: 2015,Month: 5,Day: 7
,EB,NB,SB,WB
0,50,262,168,69
1,102,391,291,85
2,97,415,353,102
3,134,402,428,128
4,128,412,431,110
5,189,467,574,158
6,186,517,619,198
7,237,469,690,188
8,248,469,726,197
9,197,367,560,170
10,123,241,485,164
11,112,195,447,103
12,70,114,253,71
13,40,61,144,45
14,28,36,75,27
15,16,21,37,12
16,10,8,19,6
17,6,25,18,8
18,9,44,9,6
19,15,183,19,8
20,25,275,64,25
21,40,601,190,69
22,110,724,321,176
23,130,545,265,132

Year: 2015,Month: 5,Day: 8
,EB,NB,SB,WB
0,100,452,259,100
1,109,425,339,104
2,140,490,434,104
3,98,273,285,86

Year: 2015,Month: 6,Day: 2
,EB,NB,SB,WB
9,21,77,50,22
10,94,427,302,74
11,110,431,404,96
12,113,422,435,101
13,112,465,444,96
14,152,474,539,156
15,217,490,608,171
16,200,470,646,169
17,219,422,794,193
18,186,387,659,155
19,122,248,492,131
20,127,191,413,118
21,102,148,240,84
22,36,94,165,50
23,31,42,84,30

Year: 2015,Month: 6,Day: 3
,EB,NB,SB,WB
0,13,22,73,16
1,10,12,29,6
2,5,23,16,8
3,4,43,6,5
4,18,168,13,5
5,29,304,44,21
6,29,527,151,45
7,86,605,224,81
8,82,476,216,85
9,104,443,286,69
10,84,403,273,89
11,113,406,366,96
12,129,465,419,109
13,124,441,461,137
14,163,416,592,147
15,187,456,606,162
16,210,448,696,150
17,213,491,722,190
18,197,356,631,186
19,132,252,481,151
20,122,217,430,118
21,87,126,278,93
22,48,75,145,38
23,24,32,82,21

Year: 2015,Month: 6,Day: 4
,EB,NB,SB,WB
0,17,18,38,16
1,13,22,29,9
2,3,12,18,9
3,5,36,19,1
4,10,176,18,8
5,24,306,58,23
6,49,607,169,69
7,114,682,298,168
8,144,578,308,136
9,110,467,282,107
10,123,454,352,95
11,121,455,405,117
12,118,413,438,116
13,126,442,483,143
14,165,488,565,160
15,191,547,661,193
16,190,491,686,238
17,232,525,736,161
18,170,437,640,161
19,115,284,482,121
20,135,198,438,163
21,91,180,351,103
22,57,89,199,46
